id,city,country,latitude,longitude
0,Hradec Kralove,Czech Republic,50.20923,15.83277
1,Ceska Trebova,Czech Republic,49.90436,16.44413
2,Jindrichuv Hradec,Czech Republic,49.14404,15.00301
3,Pardubice,Czech Republic,50.04075,15.77659
4,Vyskov,Czech Republic,49.27747,16.99897
5,Zlin,Czech Republic,49.21667,17.66667
6,Olomouc,Czech Republic,49.59552,17.25175
7,Brno,Czech Republic,49.19522,16.60796
8,"Breclav,Lednice",Czech Republic,48.75897,16.88203
9,Ostrava,Czech Republic,49.83465,18.28204
10,PIONIER,,0.0,0.0
11,Beroun,Czech Republic,49.96382,14.072
12,Marlanske Lazne,Czech Republic,49.96459,12.70118
13,Most,Czech Republic,50.50301,13.63617
14,Dvur Kralove,Czech Republic,50.43172,15.81402
15,Krnov,Czech Republic,50.08967,17.70385
16,Kyjov,Czech Republic,49.01018,17.12253
17,Jihlava,Czech Republic,49.3961,15.59124
18,SANET,,0.0,0.0
19,Telc,Czech Republic,49.18418,15.45275
20,Kostelec n C.L,Czech Republic,49.99403,14.85922
21,Trebon,Czech Republic,49.00364,14.77065
22,GEANT,,0.0,0.0
23,Opava,Czech Republic,49.93866,17.90257
24,Karvina,Czech Republic,49.84452,18.49166
25,Kutna Hora,Czech Republic,49.94839,15.26816
26,Rez,Czech Republic,50.17734,14.35733
27,Tabor,Czech Republic,49.41441,14.6578
28,Pisek,Czech Republic,49.3088,14.1475
29,NIX,,0.0,0.0
30,Internet,,0.0,0.0
31,Cheb,Czech Republic,50.07963,12.37392
32,Plzen,Czech Republic,49.74747,13.37759
33,Decin,Czech Republic,50.78215,14.21478
34,Usti nad Labem,Czech Republic,50.6607,14.03227
35,Praha,Czech Republic,50.08804,14.42076
36,Liberec,Czech Republic,50.76711,15.05619
37,Podebrady,Czech Republic,50.14242,15.11881
38,Ceske Budejovice,Czech Republic,48.97447,14.47434
