source_id,target_id
0,1
0,3
1,6
1,15
1,53
2,49
2,56
3,52
3,53
4,5
4,51
5,10
6,7
7,53
12,51
12,52
9,51
10,11
10,36
10,51
11,43
13,52
14,24
14,27
14,50
15,50
16,23
16,50
17,25
17,31
17,50
18,19
18,38
19,20
19,51
20,46
21,22
21,23
22,51
23,24
25,27
27,44
28,36
28,51
29,51
30,31
30,48
32,33
32,50
33,37
33,50
34,35
34,52
35,50
36,51
37,52
38,39
39,44
40,41
40,43
41,53
42,43
42,53
43,51
44,45
44,50
45,46
46,51
47,51
47,53
48,49
48,52
48,56
48,57
50,51
50,52
50,53
50,55
51,52
51,53
52,53
52,54
52,55
52,56
53,54
55,56
56,57
